Scan Date,Scan Time,Target Type,Target Name,Number,Rule,Severity,Result
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.12,Verify User Who Owns The Etcd Write-Ahead-Log Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.13,Verify Permissions on the OpenShift Admin Kubeconfig Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.14,Verify Group Who Owns The OpenShift Admin Kubeconfig Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.14,Verify User Who Owns The OpenShift Admin Kubeconfig Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.15,Verify Permissions on the Kubernetes Scheduler Kubeconfig File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.16,Verify Group Who Owns The Kubernetes Scheduler Kubeconfig File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.16,Verify User Who Owns The Kubernetes Scheduler Kubeconfig File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.17,Verify Permissions on the OpenShift Controller Manager Kubeconfig File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.18,Verify Group Who Owns The OpenShift Controller Manager Kubeconfig File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.18,Verify User Who Owns The OpenShift Controller Manager Kubeconfig File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.19,Verify Group Who Owns The Etcd PKI Certificate Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.19,Verify Group Who Owns The OpenShift PKI Certificate Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.19,Verify Group Who Owns The OpenShift PKI Private Key Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.19,Verify User Who Owns The Etcd PKI Certificate Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.19,Verify User Who Owns The OpenShift PKI Certificate Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.19,Verify User Who Owns The OpenShift PKI Private Key Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.20,Verify Permissions on the Etcd PKI Certificate Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.20,Verify Permissions on the OpenShift PKI Certificate Files,medium,notapplicable
